contrast_i,contrast_j,covariance,correlation
Favorita_h14_timesfm25_vs_lightgbm_cov,Rohlik_h7_moirai2_vs_lightgbm_cov,3.5572189241388254e-06,0.014416310129918872
Favorita_h14_timesfm25_vs_lightgbm_cov,Rohlik_h7_timesfm25_vs_lightgbm_cov,6.951997874249659e-06,0.029990824435640818
Favorita_h14_timesfm25_vs_lightgbm_cov,Rohlik_h7_tirex_vs_lightgbm_cov,9.405036439130681e-06,0.03991934752400761
Favorita_h14_tirex_vs_lightgbm_cov,Favorita_h14_chronos2_vs_lightgbm_cov,0.00011039447894281682,0.9287510733751564
Favorita_h14_tirex_vs_lightgbm_cov,Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,0.00010352213832664853,0.3925510732482633
Favorita_h14_tirex_vs_lightgbm_cov,Favorita_h14_moirai2_vs_lightgbm_cov,6.410566527227391e-05,0.6438490234057892
Favorita_h14_tirex_vs_lightgbm_cov,Favorita_h14_timesfm25_vs_lightgbm_cov,5.2398878574645e-05,0.26579225770824877
Favorita_h14_tirex_vs_lightgbm_cov,Favorita_h14_tirex_vs_lightgbm_cov,0.00011176606433881347,1.0
Favorita_h14_tirex_vs_lightgbm_cov,Favorita_h28_chronos2_vs_lightgbm_direct,0.00015663531889799595,0.49037167761019546
Favorita_h14_tirex_vs_lightgbm_cov,Favorita_h28_chronos_bolt_tiny_vs_lightgbm_direct,0.00017042335760076443,0.5315667897653881
